time,weak_chaos_entropy,strong_chaos_entropy,weak_chaos_normalized_entropy,strong_chaos_normalized_entropy,weak_chaos_occupied_cells,strong_chaos_occupied_cells
34.0,1.4922571657393116,4.999387087325729,0.17940600106192708,0.6010492465307624,8,272
34.2,1.2824515264858052,4.962652371468407,0.15418220478679603,0.5966328304977772,7,250
34.4,1.1755045304279368,4.951908121566576,0.14132454638257452,0.5953411074934901,8,262
34.6,1.316834089528895,4.976881152702891,0.1583158342197392,0.5983434798415175,8,265
34.800000000000004,1.289062586552856,4.959137013395859,0.15497701675127548,0.5962101980262593,8,262
35.0,1.0767347524092872,5.013007400197711,0.12944999063780704,0.6026867430170761,6,271
35.2,1.050500675713573,4.9586287610497415,0.12629600960853976,0.5961490935979873,7,262
35.4,1.3695874665071925,5.002423790379805,0.16465808716613384,0.601414332900493,8,269
35.6,1.4797315227736647,4.9926699061418605,0.17790011081272003,0.6002416761988691,9,270
35.800000000000004,1.1485451501439516,5.028869025992222,0.13808336602914575,0.6045937004232576,10,280
36.0,1.0840532495296487,5.02954228998659,0.13032985392966587,0.6046746433087479,9,273
36.2,1.2651565290052253,5.00458398036381,0.15210292086201108,0.6016740408486015,7,266
36.4,1.3104234197987912,5.020179970637891,0.15754511410070604,0.6035490623341156,7,273
36.6,1.1790012259396307,5.0022468217841745,0.14174493515542613,0.6013930569242173,7,273
36.800000000000004,1.2395839352137883,5.001286264746618,0.14902846634154654,0.6012775743513361,6,268
37.0,1.5771992516168933,5.040736558881077,0.1896181282334564,0.6060204696604524,8,276
37.2,1.4290331757845467,5.044220810740743,0.17180492299751432,0.6064393624003814,9,276
37.4,1.243164328719467,5.085031856755551,0.14945891767113603,0.6113458535419692,7,284
37.6,1.3037328564404633,5.081632293672348,0.1567407438858883,0.6109371424751922,9,280
37.800000000000004,1.324719640952417,5.130086405325958,0.15926387138085502,0.6167625180246374,8,294
38.0,1.264042582459842,5.10398963063931,0.15196899709894107,0.6136250440726687,6,291
38.2,1.0934903897285666,5.052482869429017,0.13146443021009527,0.6074326649918069,7,287
38.4,1.1607947628661703,5.0572805400095024,0.13955607065640868,0.6080094629546641,9,279
38.6,1.4477738374526492,5.060323815837717,0.17405801130181012,0.6083753395334492,10,285
38.800000000000004,1.4285055218738472,5.089808174489341,0.17174148602415834,0.6119200843676567,9,301
39.0,1.207944587178181,5.083285726663717,0.145224638799219,0.611135925773283,9,288
39.2,1.1780490723940877,5.123753658024327,0.1416304628888995,0.6160011660973653,6,299
39.4,1.291614912211981,5.171821160442844,0.1552838690488716,0.6217800617112913,8,313
39.6,1.2913151564572303,5.187703876646472,0.15524783103713352,0.623689554703193,7,309
39.800000000000004,1.198636609550514,5.193514340010408,0.14410559103554063,0.6243881152598945,6,310
40.0,1.2961891672694377,5.178132079976781,0.15583380697280108,0.622538789404213,8,308
